;GTHKW Nossener Bruecke;GuD Marzahn;HKW Klingenberg 1-3;HKW Mitte GUD;HKW Nord GuD Nord;HKW Reuter West Block D;HKW Reuter West Block E;HKW Tiefstack Block 2;HKW Tiefstack GuD;HKW Wedel Block 1;HKW Wedel Block 2;IKS Schwedt SE1 Block 1;IKS Schwedt SE2 Block 2;KW Boxberg Block N;KW Boxberg Block P;KW Boxberg Block Q;KW Boxberg Block R;KW Jänschwalde Block A;KW Jänschwalde Block B;KW Jänschwalde Block C;KW Jänschwalde Block D;KW Lippendorf Block R;KW Lippendorf Block S;KW Schwarze Pumpe Block A;KW Schwarze Pumpe Block B;Kraftwerk Rostock;Lichterfelde GUD;PSW Goldisthal PSS A;PSW Goldisthal PSS B;PSW Goldisthal PSS C;PSW Goldisthal PSS D;PSW Markersbach PSS A;PSW Markersbach PSS B;PSW Markersbach PSS C;PSW Markersbach PSS D;PSW Markersbach PSS E;PSW Markersbach PSS F;Schkopau A;Schkopau B
;Fossil Gas;Fossil Gas;Fossil Gas;Fossil Gas;Fossil Gas;Fossil Hard coal;Fossil Hard coal;Fossil Hard coal;Fossil Gas;Fossil Hard coal;Fossil Hard coal;Fossil Oil;Fossil Oil;Fossil Brown coal/Lignite;Fossil Brown coal/Lignite;Fossil Brown coal/Lignite;Fossil Brown coal/Lignite;Fossil Brown coal/Lignite;Fossil Brown coal/Lignite;Fossil Brown coal/Lignite;Fossil Brown coal/Lignite;Fossil Brown coal/Lignite;Fossil Brown coal/Lignite;Fossil Brown coal/Lignite;Fossil Brown coal/Lignite;Fossil Hard coal;Fossil Gas;Hydro Pumped Storage;Hydro Pumped Storage;Hydro Pumped Storage;Hydro Pumped Storage;Hydro Pumped Storage;Hydro Pumped Storage;Hydro Pumped Storage;Hydro Pumped Storage;Hydro Pumped Storage;Hydro Pumped Storage;Fossil Brown coal/Lignite;Fossil Brown coal/Lignite
2021-11-01 00:00:00+01:00;67.0;45.0;9.0;65.0;1.0;0.0;124.0;71.0;0.0;31.0;34.0;62.0;71.0;399.0;356.0;0.0;310.0;346.0;153.0;425.0;163.0;514.0;289.0;415.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;184.0;0.0
2021-11-01 01:00:00+01:00;67.0;45.0;9.0;69.0;1.0;0.0;127.0;74.0;0.0;32.0;34.0;62.0;71.0;402.0;359.0;0.0;293.0;336.0;155.0;425.0;147.0;506.0;289.0;373.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;183.0;0.0
2021-11-01 02:00:00+01:00;67.0;45.0;9.0;69.0;1.0;0.0;125.0;69.0;0.0;30.0;34.0;62.0;71.0;402.0;357.0;0.0;293.0;379.0;154.0;436.0;171.0;441.0;287.0;382.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;183.0;0.0
2021-11-01 03:00:00+01:00;67.0;45.0;9.0;69.0;1.0;0.0;128.0;66.0;0.0;31.0;34.0;62.0;71.0;401.0;357.0;0.0;292.0;349.0;155.0;422.0;178.0;435.0;288.0;354.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;183.0;0.0
2021-11-01 04:00:00+01:00;67.0;62.0;9.0;75.0;1.0;0.0;125.0;67.0;0.0;29.0;34.0;62.0;71.0;400.0;357.0;0.0;293.0;367.0;163.0;427.0;157.0;440.0;287.0;400.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;181.0;0.0
2021-11-01 05:00:00+01:00;67.0;100.0;9.0;123.0;1.0;0.0;129.0;80.0;0.0;33.0;38.0;62.0;71.0;399.0;355.0;0.0;299.0;377.0;166.0;437.0;166.0;468.0;294.0;436.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;183.0;0.0
2021-11-01 06:00:00+01:00;67.0;100.0;8.0;157.0;3.0;0.0;128.0;99.0;0.0;35.0;41.0;62.0;71.0;399.0;362.0;0.0;433.0;389.0;168.0;446.0;321.0;699.0;437.0;488.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;203.0;0.0
2021-11-01 07:00:00+01:00;67.0;100.0;9.0;161.0;7.0;0.0;126.0;107.0;0.0;42.0;41.0;62.0;71.0;452.0;409.0;0.0;580.0;465.0;176.0;465.0;403.0;739.0;716.0;568.0;0.0;0.0;12.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;324.0;0.0
2021-11-01 08:00:00+01:00;67.0;100.0;9.0;162.0;24.0;0.0;125.0;104.0;0.0;49.0;41.0;62.0;71.0;477.0;431.0;0.0;588.0;496.0;155.0;495.0;449.0;852.0;862.0;600.0;0.0;0.0;18.0;0.0;0.0;0.0;71.0;0.0;0.0;0.0;0.0;0.0;0.0;358.0;0.0
2021-11-01 09:00:00+01:00;67.0;100.0;9.0;162.0;20.0;0.0;125.0;99.0;0.0;42.0;41.0;62.0;71.0;473.0;454.0;0.0;592.0;459.0;158.0;437.0;381.0;469.0;852.0;576.0;0.0;0.0;18.0;0.0;0.0;0.0;114.0;0.0;0.0;0.0;83.0;0.0;0.0;357.0;0.0
2021-11-01 10:00:00+01:00;67.0;95.0;9.0;157.0;17.0;0.0;125.0;99.0;0.0;38.0;41.0;62.0;71.0;482.0;456.0;0.0;591.0;476.0;203.0;479.0;469.0;437.0;851.0;589.0;0.0;0.0;43.0;0.0;0.0;0.0;63.0;0.0;0.0;0.0;0.0;0.0;0.0;358.0;0.0
